# GraphemeBreakProperty-6.1.0.txt
# Date: 2011-09-16, 21:06:23 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2011 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Property:	Grapheme_Cluster_Break

#  All code points not explicitly listed for Grapheme_Cluster_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

000D          ; CR

# Total code points: 1

# ================================================

000A          ; LF

# Total code points: 1

# ================================================

0000..0009    ; Control
000B..000C    ; Control
000E..001F    ; Control
007F..009F    ; Control
00AD          ; Control
0378..0379    ; Control
037F..0383    ; Control
038B          ; Control
038D          ; Control
03A2          ; Control
0528..0530    ; Control
0557..0558    ; Control
0560          ; Control
0588          ; Control
058B..058E    ; Control
0590          ; Control
05C8..05CF    ; Control
05EB..05EF    ; Control
05F5..05FF    ; Control
0600..0604    ; Control
0605          ; Control
061C..061D    ; Control
06DD          ; Control
070E          ; Control
070F          ; Control
074B..074C    ; Control
07B2..07BF    ; Control
07FB..07FF    ; Control
082E..082F    ; Control
083F          ; Control
085C..085D    ; Control
085F..089F    ; Control
08A1          ; Control
08AD..08E3    ; Control
08FF          ; Control
0978          ; Control
0980          ; Control
0984          ; Control
098D..098E    ; Control
0991..0992    ; Control
09A9          ; Control
09B1          ; Control
09B3..09B5    ; Control
09BA..09BB    ; Control
09C5..09C6    ; Control
09C9..09CA    ; Control
09CF..09D6    ; Control
09D8..09DB    ; Control
09DE          ; Control
09E4..09E5    ; Control
09FC..0A00    ; Control
0A04          ; Control
0A0B..0A0E    ; Control
0A11..0A12    ; Control
0A29          ; Control
0A31          ; Control
0A34          ; Control
0A37          ; Control
0A3A..0A3B    ; Control
0A3D          ; Control
0A43..0A46    ; Control
0A49..0A4A    ; Control
0A4E..0A50    ; Control
0A52..0A58    ; Control
0A5D          ; Control
0A5F..0A65    ; Control
0A76..0A80    ; Control
0A84          ; Control
0A8E          ; Control
0A92          ; Control
0AA9          ; Control
0AB1          ; Control
0AB4          ; Control
0ABA..0ABB    ; Control
0AC6          ; Control
0ACA          ; Control
0ACE..0ACF    ; Control
0AD1..0ADF    ; Control
0AE4..0AE5    ; Control
0AF2..0B00    ; Control
0B04          ; Control
0B0D..0B0E    ; Control
0B11..0B12    ; Control
0B29          ; Control
0B31          ; Control
0B34          ; Control
0B3A..0B3B    ; Control
0B45..0B46    ; Control
0B49..0B4A    ; Control
0B4E..0B55    ; Control
0B58..0B5B    ; Control
0B5E          ; Control
0B64..0B65    ; Control
0B78..0B81    ; Control
0B84          ; Control
0B8B..0B8D    ; Control
0B91          ; Control
